,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,final,total
POGAČAR Tadej,10,7,0,32,7,7,26,7,7,7,29,10,12,35,35,10,10,10,32,32,25,280.0,630.0
VINGEGAARD Jonas,0,0,0,7,0,0,10,0,0,0,25,0,0,19,19,0,0,0,5,19,19,180.0,303.0
GIRMAY Biniam,0,0,25,0,5,22,3,28,5,22,3,28,13,3,3,3,3,3,3,3,0,100.0,275.0
EVENEPOEL Remco,3,0,0,19,0,0,28,1,0,0,14,0,0,14,14,0,0,0,7,10,14,120.0,244.0
PHILIPSEN Jasper,0,0,0,0,19,0,0,19,0,25,0,10,25,0,0,25,0,0,0,0,0,50.0,173.0
CARAPAZ Richard,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,25,0,13,17,0,100.0,165.0
ALMEIDA João,0,0,0,3,0,0,3,0,0,0,5,0,0,0,7,0,0,0,4,5,7,85.0,119.0
LANDA Mikel,0,0,0,4,0,0,0,0,0,0,3,0,0,0,10,0,0,0,3,3,4,65.0,92.0
JORGENSON Matteo,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,19,4,10,40.0,79.0
VAN AERT Wout,14,0,0,0,0,5,0,0,0,10,0,19,19,0,0,7,0,2,0,0,0,0.0,76.0
YATES Adam,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,0,0,2,1,50.0,66.0
ACKERMANN Pascal,0,0,0,0,5,2,0,10,0,14,0,14,14,0,0,5,0,0,0,0,0,0.0,64.0
RODRÍGUEZ Carlos,0,0,0,5,0,0,0,0,0,0,2,0,0,10,3,0,0,0,0,0,0,40.0,60.0
ABRAHAMSEN Jonas,3,25,6,6,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,55.0
DE LIE Arnaud,0,0,14,0,10,7,0,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0.0,52.0
GEE-WEST Derek,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,1,0,5,20.0,41.0
BAUHAUS Phil,0,0,5,0,0,10,0,0,0,3,0,4,0,0,0,19,0,0,0,0,0,0.0,41.0
