,1,2,3,4,5,6,7,8,9,10,11,total
POGAČAR Tadej,0,22,0,28,29,2,35,7,7,2,0,132
VAN DER POEL Mathieu,0,32,7,26,0,10,0,0,0,0,14,89
MILAN Jonathan,0,0,22,3,0,3,0,28,22,3,3,84
HEALY Ben,0,0,0,0,0,25,0,0,0,21,7,53
MERLIER Tim,0,0,25,0,0,0,0,0,25,0,0,50
VINGEGAARD Jonas,0,14,0,14,0,1,19,0,0,1,0,49
PHILIPSEN Jasper,35,3,0,0,0,0,0,0,0,0,0,38
EVENEPOEL Remco,0,0,0,4,28,0,5,0,0,0,0,37
YATES Simon,0,0,0,0,0,7,0,0,0,25,0,32
DE LIE Arnaud,0,0,0,0,0,0,0,7,14,0,10,31
ONLEY Oscar,0,5,0,10,0,0,14,0,0,0,0,29
GIRMAY Biniam,19,0,5,0,0,0,0,0,5,0,0,29
VAN AERT Wout,0,0,0,0,0,0,0,19,0,0,7,26
ABRAHAMSEN Jonas,0,0,0,0,0,0,0,0,0,0,25,25
WÆRENSKJOLD Søren,14,0,10,0,0,0,0,0,0,0,0,24
STORER Michael,0,0,0,0,0,14,0,0,0,7,0,21
SIMMONS Quinn,0,0,0,0,0,19,0,0,0,0,2,21
GROVES Kaden,0,0,4,0,0,0,0,14,1,0,0,19
ARENSMAN Thymen,0,0,0,0,0,0,0,0,0,19,0,19
SCHMID Mauro,0,0,0,0,0,0,0,0,0,0,19,19
BAUHAUS Phil,0,0,14,0,0,0,0,0,4,0,0,18
GRÉGOIRE Romain,0,10,0,7,0,0,0,0,0,0,0,17
BITTNER Pavel,0,0,7,0,0,0,0,0,10,0,0,17
WELLENS Tim,0,0,3,0,0,3,3,3,3,0,0,15
VAUQUELIN Kévin,0,3,0,1,7,0,4,0,0,0,0,15
AFFINI Edoardo,0,0,0,0,14,0,0,0,0,0,0,14
JORGENSON Matteo,3,0,0,3,0,0,7,0,0,0,0,13
ACKERMANN Pascal,0,0,3,0,0,0,0,10,0,0,0,13
PENHOËT Paul,4,0,0,0,0,0,0,0,7,0,0,11
ARMIRAIL Bruno,0,0,0,0,10,0,0,0,0,0,0,10
GALL Felix,0,0,0,0,0,0,10,0,0,0,0,10
DUNBAR Eddie,0,0,0,0,0,10,0,0,0,0,0,10
TURGIS Anthony,10,0,0,0,0,0,0,0,0,0,0,10
O'CONNOR Ben,0,0,0,0,0,0,0,0,0,10,0,10
MARTINEZ Lenny,0,0,0,0,0,0,0,0,0,6,3,9
ALMEIDA João,0,0,0,5,3,0,0,0,0,0,0,8
ALAPHILIPPE Julian,0,7,0,0,0,0,0,0,0,0,0,7
LAURANCE Axel,0,0,0,0,0,0,2,0,0,0,5,7
TRENTIN Matteo,7,0,0,0,0,0,0,0,0,0,0,7
BLACKMORE Joseph,0,0,0,0,0,0,0,0,0,5,0,5
ANDRESEN Tobias Lund,0,0,0,0,0,0,0,5,0,0,0,5
RUSSO Clément,5,0,0,0,0,0,0,0,0,0,0,5
LIPOWITZ Florian,0,0,0,0,5,0,0,0,0,0,0,5
BARTA Will,0,0,0,0,0,5,0,0,0,0,0,5
PARET-PEINTRE Aurélien,0,4,0,0,0,0,0,0,0,0,0,4
DAINESE Alberto,0,0,1,0,0,0,0,3,0,0,0,4
TEJADA Harold,0,0,0,0,0,4,0,0,0,0,0,4
JOHANNESSEN Anders Halland,0,0,0,0,0,0,0,0,0,4,0,4
COQUARD Bryan,0,0,0,0,0,0,0,4,0,0,0,4
ROMEO Iván,0,0,0,0,4,0,0,0,0,0,0,4
WRIGHT Fred,0,0,0,0,0,0,0,0,0,0,4,4
FREDHEIM Stian,0,0,0,0,0,0,0,1,2,0,0,3
MEEUS Jordi,0,0,0,0,0,0,0,0,3,0,0,3
NARVÁEZ Jhonatan,0,0,0,0,0,0,3,0,0,0,0,3
BURGAUDEAU Mathieu,0,0,0,0,0,0,0,0,0,0,3,3
THOMAS Benjamin,3,0,0,0,0,0,0,0,0,0,0,3
VELASCO Simone,0,2,0,0,0,0,0,0,0,0,0,2
MAYRHOFER Marius,2,0,0,0,0,0,0,0,0,0,0,2
ALBANESE Vincenzo,0,0,0,0,0,0,0,2,0,0,0,2
CAPIOT Amaury,0,0,2,0,0,0,0,0,0,0,0,2
SKJELMOSE Mattias,0,0,0,2,0,0,0,0,0,0,0,2
PLAPP Luke,0,0,0,0,2,0,0,0,0,0,0,2
BALLERINI Davide,0,0,0,0,0,0,0,0,0,0,1,1
WATSON Samuel,1,0,0,0,0,0,0,0,0,0,0,1
BERCKMOES Jenno,0,1,0,0,0,0,0,0,0,0,0,1
JOHANNESSEN Tobias Halland,0,0,0,0,0,0,1,0,0,0,0,1
CASTRILLO Pablo,0,0,0,0,1,0,0,0,0,0,0,1
POLITT Nils,0,0,0,0,0,0,0,0,0,0,0,0
NYS Thibau,0,0,0,0,0,0,0,0,0,0,0,0
CONSONNI Simone,0,0,0,0,0,0,0,0,0,0,0,0
VAN POPPEL Danny,0,0,0,0,0,0,0,0,0,0,0,0
VLASOV Aleksandr,0,0,0,0,0,0,0,0,0,0,0,0
VAN DIJKE Mick,0,0,0,0,0,0,0,0,0,0,0,0
PITHIE Laurence,0,0,0,0,0,0,0,0,0,0,0,0
ROGLIČ Primož,0,0,0,0,0,0,0,0,0,0,0,0
MOSCON Gianni,0,0,0,0,0,0,0,0,0,0,0,0
RODRÍGUEZ Carlos,0,0,0,0,0,0,0,0,0,0,0,0
SWIFT Connor,0,0,0,0,0,0,0,0,0,0,0,0
BUITRAGO Santiago,0,0,0,0,0,0,0,0,0,0,0,0
MOHORIČ Matej,0,0,0,0,0,0,0,0,0,0,0,0
STANNARD Robert,0,0,0,0,0,0,0,0,0,0,0,0
THOMAS Geraint,0,0,0,0,0,0,0,0,0,0,0,0
FOSS Tobias,0,0,0,0,0,0,0,0,0,0,0,0
GANNA Filippo,0,0,0,0,0,0,0,0,0,0,0,0
RUTSCH Jonas,0,0,0,0,0,0,0,0,0,0,0,0
VAN SINTMAARTENSDIJK Roel,0,0,0,0,0,0,0,0,0,0,0,0
REX Laurenz,0,0,0,0,0,0,0,0,0,0,0,0
ZIMMERMANN Georg,0,0,0,0,0,0,0,0,0,0,0,0
GRADEK Kamil,0,0,0,0,0,0,0,0,0,0,0,0
HAIG Jack,0,0,0,0,0,0,0,0,0,0,0,0
ASGREEN Kasper,0,0,0,0,0,0,0,0,0,0,0,0
SCHACHMANN Maximilian,0,0,0,0,0,0,0,0,0,0,0,0
BAUDIN Alex,0,0,0,0,0,0,0,0,0,0,0,0
POWLESS Neilson,0,0,0,0,0,0,0,0,0,0,0,0
VALGREN Michael,0,0,0,0,0,0,0,0,0,0,0,0
SWEENY Harry,0,0,0,0,0,0,0,0,0,0,0,0
VAN DEN BERG Marijn,0,0,0,0,0,0,0,0,0,0,0,0
BARRÉ Louis,0,0,0,0,0,0,0,0,0,0,0,0
